Bulan,2018,2019,2020
1,215.1,383.9,618
2,431.2,270.1,1043.2
3,188.6,327.3,220.7
4,159.1,194.6,182.8
5,16.7,47.8,50.4
6,12.6,23.1,21.1
7,14.5,0,12.1
8,33,0,101
9,62,1,151.9
10,133.8,1,208.3
11,140.9,50.1,87.3
12,52.3,263.8,134.7
